"id","description","image_url"
9001,"chefs image :O","generated/faces/chef_1.png"
9002,"chefs image :O","generated/faces/chef_2.png"
9003,"chefs image :O","generated/faces/chef_3.png"
9004,"chefs image :O","generated/faces/chef_4.png"
9005,"chefs image :O","generated/faces/chef_5.png"
9006,"chefs image :O","generated/faces/chef_6.png"
9007,"chefs image :O","generated/faces/chef_7.png"
9008,"chefs image :O","generated/faces/chef_8.png"
9009,"chefs image :O","generated/faces/chef_9.png"
9010,"chefs image :O","generated/faces/chef_10.png"
9011,"chefs image :O","generated/faces/chef_11.png"
9012,"chefs image :O","generated/faces/chef_12.png"
9013,"chefs image :O","generated/faces/chef_13.png"
9014,"chefs image :O","generated/faces/chef_14.png"
9015,"chefs image :O","generated/faces/chef_15.png"
9016,"chefs image :O","generated/faces/chef_16.png"
9017,"chefs image :O","generated/faces/chef_17.png"
9018,"chefs image :O","generated/faces/chef_18.png"
9019,"chefs image :O","generated/faces/chef_19.png"
9020,"chefs image :O","generated/faces/chef_20.png"
9021,"chefs image :O","generated/faces/chef_21.png"
9022,"chefs image :O","generated/faces/chef_22.png"
9023,"chefs image :O","generated/faces/chef_23.png"
9024,"chefs image :O","generated/faces/chef_24.png"
9025,"chefs image :O","generated/faces/chef_25.png"
9026,"chefs image :O","generated/faces/chef_26.png"
9027,"chefs image :O","generated/faces/chef_27.png"
9028,"chefs image :O","generated/faces/chef_28.png"
9029,"chefs image :O","generated/faces/chef_29.png"
9030,"chefs image :O","generated/faces/chef_30.png"
9031,"chefs image :O","generated/faces/chef_31.png"
9032,"chefs image :O","generated/faces/chef_32.png"
9033,"chefs image :O","generated/faces/chef_33.png"
9034,"chefs image :O","generated/faces/chef_34.png"
9035,"chefs image :O","generated/faces/chef_35.png"
9036,"chefs image :O","generated/faces/chef_36.png"
9037,"chefs image :O","generated/faces/chef_37.png"
9038,"chefs image :O","generated/faces/chef_38.png"
9039,"chefs image :O","generated/faces/chef_39.png"
9040,"chefs image :O","generated/faces/chef_40.png"
9041,"chefs image :O","generated/faces/chef_41.png"
9042,"chefs image :O","generated/faces/chef_42.png"
9043,"chefs image :O","generated/faces/chef_43.png"
9044,"chefs image :O","generated/faces/chef_44.png"
9045,"chefs image :O","generated/faces/chef_45.png"
9046,"chefs image :O","generated/faces/chef_46.png"
9047,"chefs image :O","generated/faces/chef_47.png"
9048,"chefs image :O","generated/faces/chef_48.png"
9049,"chefs image :O","generated/faces/chef_49.png"
9050,"chefs image :O","generated/faces/chef_50.png"
9051,"chefs image :O","generated/faces/chef_51.png"
9052,"chefs image :O","generated/faces/chef_52.png"
9053,"chefs image :O","generated/faces/chef_53.png"
9054,"chefs image :O","generated/faces/chef_54.png"
9055,"chefs image :O","generated/faces/chef_55.png"
9056,"chefs image :O","generated/faces/chef_56.png"
9057,"chefs image :O","generated/faces/chef_57.png"
9058,"chefs image :O","generated/faces/chef_58.png"
9059,"chefs image :O","generated/faces/chef_59.png"
9060,"chefs image :O","generated/faces/chef_60.png"
9061,"chefs image :O","generated/faces/chef_61.png"
9062,"chefs image :O","generated/faces/chef_62.png"
9063,"chefs image :O","generated/faces/chef_63.png"
9064,"chefs image :O","generated/faces/chef_64.png"
9065,"chefs image :O","generated/faces/chef_65.png"
9066,"chefs image :O","generated/faces/chef_66.png"
9067,"chefs image :O","generated/faces/chef_67.png"
9068,"chefs image :O","generated/faces/chef_68.png"
9069,"chefs image :O","generated/faces/chef_69.png"
9070,"chefs image :O","generated/faces/chef_70.png"
9071,"chefs image :O","generated/faces/chef_71.png"
9072,"chefs image :O","generated/faces/chef_72.png"
9073,"chefs image :O","generated/faces/chef_73.png"
9074,"chefs image :O","generated/faces/chef_74.png"
9075,"chefs image :O","generated/faces/chef_75.png"
9076,"chefs image :O","generated/faces/chef_76.png"
9077,"chefs image :O","generated/faces/chef_77.png"
9078,"chefs image :O","generated/faces/chef_78.png"
9079,"chefs image :O","generated/faces/chef_79.png"
9080,"chefs image :O","generated/faces/chef_80.png"
9081,"chefs image :O","generated/faces/chef_81.png"
9082,"chefs image :O","generated/faces/chef_82.png"
9083,"chefs image :O","generated/faces/chef_83.png"
9084,"chefs image :O","generated/faces/chef_84.png"
9085,"chefs image :O","generated/faces/chef_85.png"
9086,"chefs image :O","generated/faces/chef_86.png"
9087,"chefs image :O","generated/faces/chef_87.png"
9088,"chefs image :O","generated/faces/chef_88.png"
9089,"chefs image :O","generated/faces/chef_89.png"
9090,"chefs image :O","generated/faces/chef_90.png"
9091,"chefs image :O","generated/faces/chef_91.png"
9092,"chefs image :O","generated/faces/chef_92.png"
9093,"chefs image :O","generated/faces/chef_93.png"
9094,"chefs image :O","generated/faces/chef_94.png"
9095,"chefs image :O","generated/faces/chef_95.png"
9096,"chefs image :O","generated/faces/chef_96.png"
9097,"chefs image :O","generated/faces/chef_97.png"
9098,"chefs image :O","generated/faces/chef_98.png"
9099,"chefs image :O","generated/faces/chef_99.png"
9100,"chefs image :O","generated/faces/chef_100.png"
