"episode_id","episode_year","recipe_name","recipe_cuisine_name","chef_id"
1,2022,"Shëndetli","Mexican",35
1,2022,"Sarmi","French",71
1,2022,"Zefir","Turkish",85
1,2022,"Brownies","Chinese",19
1,2022,"Bulgarian Cheese Toast","Russian",43
1,2022,"Tarator","American",72
1,2022,"Garash Cake","Greek",76
1,2022,"Borscht","Japanese",30
1,2022,"Përime në zgare","Korean",22
1,2022,"Medovik","Italian",54
2,2022,"Speca të mbushur","Italian",93
2,2022,"Kadaif","Bulgarian",51
2,2022,"Fërgesë","Indian",70
2,2022,"Mekitsa","Turkish",1
2,2022,"Garash Cake","Greek",91
2,2022,"Shëndetli","Mexican",66
2,2022,"Kavarma","German",16
2,2022,"Musaka","Albanian",73
2,2022,"Sarmi","French",63
2,2022,"Brownies","Chinese",19
3,2022,"Kadaif","Bulgarian",45
3,2022,"Bulgarian Cheese Toast","Russian",66
3,2022,"Shopska Salata","Mexican",25
3,2022,"Përime në zgare","Korean",56
3,2022,"Kasha","German",23
3,2022,"Brownies","Chinese",81
3,2022,"Zefir","Turkish",78
3,2022,"Chocolate Chip Cookies","Indian",50
3,2022,"Speca të mbushur","Italian",53
3,2022,"Olivier Salad","Albanian",38
4,2022,"Cheeseburger","Albanian",52
4,2022,"Apple Pie","American",39
4,2022,"Pryaniki","Korean",22
4,2022,"Shopska Salata","Mexican",18
4,2022,"Sarmi","French",38
4,2022,"Mish me midhje","Turkish",17
4,2022,"Medovik","Italian",2
4,2022,"Qifqi","German",62
4,2022,"Byrek me Spinaq","Japanese",30
4,2022,"Kadaif","Bulgarian",26
5,2022,"Barbecue Ribs","Greek",60
5,2022,"Apple Pie","American",95
5,2022,"Speca të mbushur","Italian",14
5,2022,"Brownies","Chinese",19
5,2022,"Sarmi","French",47
5,2022,"Qifqi","German",48
5,2022,"Olivier Salad","Albanian",7
5,2022,"Përime në zgare","Korean",68
5,2022,"Zefir","Turkish",13
5,2022,"Shëndetli","Mexican",35
6,2022,"Banitsa","Korean",27
6,2022,"Fried Chicken","Bulgarian",65
6,2022,"Bulgarian Cheese Toast","Russian",57
6,2022,"Medovik","Italian",49
6,2022,"Tavë Kosi","Greek",10
6,2022,"Borscht","Japanese",20
6,2022,"Tarator","American",59
6,2022,"Olivier Salad","Albanian",30
6,2022,"Kasha","German",16
6,2022,"Beef Stroganoff","Indian",42
7,2022,"Tarator","American",59
7,2022,"Fried Chicken","Bulgarian",96
7,2022,"Mish me midhje","Turkish",1
7,2022,"Qifqi","German",48
7,2022,"Shopska Salata","Mexican",100
7,2022,"Brownies","Chinese",87
7,2022,"Banitsa","Korean",88
7,2022,"Musaka","Albanian",72
7,2022,"Sarmi","French",57
7,2022,"Speca të mbushur","Italian",53
8,2022,"Barbecue Ribs","Greek",99
8,2022,"Olivier Salad","Albanian",52
8,2022,"Përime në zgare","Korean",56
8,2022,"Byrek me Spinaq","Japanese",61
8,2022,"Chocolate Chip Cookies","Indian",10
8,2022,"Shopska Salata","Mexican",20
8,2022,"Zefir","Turkish",41
8,2022,"Qifqi","German",16
8,2022,"Sarmi","French",82
8,2022,"Macaroni and Cheese","Russian",80
9,2022,"Medovik","Italian",93
9,2022,"Fried Chicken","Bulgarian",26
9,2022,"Syrniki","Mexican",69
9,2022,"Sarmi","French",42
9,2022,"Bulgarian Cheese Toast","Russian",40
9,2022,"Musaka","Albanian",72
9,2022,"Chocolate Chip Cookies","Indian",81
9,2022,"Pelmeni","Chinese",17
9,2022,"Garash Cake","Greek",99
9,2022,"Përime në zgare","Korean",56
10,2022,"Pelmeni","Chinese",90
10,2022,"Shëndetli","Mexican",100
10,2022,"Pancakes","French",45
10,2022,"Clam Chowder","Japanese",20
10,2022,"Mish me midhje","Turkish",60
10,2022,"Beef Stroganoff","Indian",19
10,2022,"Bulgarian Cheese Toast","Russian",10
10,2022,"Apple Pie","American",95
10,2022,"Tavë Kosi","Greek",92
10,2022,"Kasha","German",16
1,2023,"Bakllasarem","French",45
1,2023,"Jani me fasule","Chinese",19
1,2023,"Banitsa","Korean",25
1,2023,"Syrniki","Mexican",69
1,2023,"Kadaif","Bulgarian",96
1,2023,"Macaroni and Cheese","Russian",57
1,2023,"Tarator","American",17
1,2023,"BLT Sandwich","Italian",9
1,2023,"Byrek me Spinaq","Japanese",12
1,2023,"Beef Stroganoff","Indian",67
2,2023,"Kasha","German",44
