"episode_id","episode_year","chef_id"
1,2022,6
1,2022,42
1,2022,57
2,2022,48
2,2022,23
2,2022,97
3,2022,48
3,2022,76
3,2022,1
4,2022,34
4,2022,28
4,2022,66
5,2022,62
5,2022,49
5,2022,79
6,2022,75
6,2022,55
6,2022,45
7,2022,76
7,2022,42
7,2022,54
8,2022,92
8,2022,66
8,2022,22
9,2022,3
9,2022,82
9,2022,2
10,2022,21
10,2022,70
10,2022,63
1,2023,37
1,2023,36
1,2023,41
2,2023,11
2,2023,57
2,2023,63
3,2023,71
3,2023,65
3,2023,26
4,2023,31
4,2023,14
4,2023,99
5,2023,66
5,2023,75
5,2023,39
6,2023,52
6,2023,16
6,2023,30
7,2023,19
7,2023,29
7,2023,86
8,2023,97
8,2023,75
8,2023,13
9,2023,7
9,2023,27
9,2023,63
10,2023,17
10,2023,26
10,2023,37
1,2024,30
1,2024,45
1,2024,19
2,2024,84
2,2024,60
2,2024,23
3,2024,89
3,2024,23
3,2024,14
4,2024,48
4,2024,24
4,2024,96
5,2024,51
5,2024,38
5,2024,13
6,2024,34
6,2024,56
6,2024,37
7,2024,5
7,2024,18
7,2024,36
8,2024,77
8,2024,46
8,2024,81
9,2024,29
9,2024,57
9,2024,56
10,2024,29
10,2024,90
10,2024,8
