"episode_id","episode_year","chef_id"
1,2022,10
1,2022,35
1,2022,74
2,2022,17
2,2022,93
2,2022,68
3,2022,5
3,2022,31
3,2022,81
4,2022,37
4,2022,92
4,2022,54
5,2022,53
5,2022,82
5,2022,36
6,2022,17
6,2022,82
6,2022,56
7,2022,55
7,2022,5
7,2022,62
8,2022,72
8,2022,74
8,2022,3
9,2022,5
9,2022,100
9,2022,1
10,2022,56
10,2022,94
10,2022,7
1,2023,43
1,2023,45
1,2023,11
2,2023,45
2,2023,61
2,2023,96
3,2023,76
3,2023,10
3,2023,5
4,2023,21
4,2023,86
4,2023,60
5,2023,83
5,2023,61
5,2023,29
6,2023,22
6,2023,95
6,2023,9
7,2023,21
7,2023,38
7,2023,64
8,2023,54
8,2023,87
8,2023,57
9,2023,16
9,2023,69
9,2023,30
10,2023,29
10,2023,84
10,2023,39
1,2024,65
1,2024,44
1,2024,85
2,2024,23
2,2024,4
2,2024,55
3,2024,30
3,2024,29
3,2024,5
4,2024,64
4,2024,28
4,2024,82
5,2024,16
5,2024,82
5,2024,85
6,2024,21
6,2024,65
6,2024,83
7,2024,95
7,2024,59
7,2024,38
8,2024,63
8,2024,17
8,2024,31
9,2024,24
9,2024,62
9,2024,17
10,2024,86
10,2024,53
10,2024,100
