"episode_id","episode_year","judge_chef_id","participant_chef_id","grade"
1,2022,18,35,1
1,2022,18,70,5
1,2022,18,63,2
1,2022,18,77,4
1,2022,18,73,5
1,2022,18,20,1
1,2022,18,36,4
1,2022,18,22,1
1,2022,18,54,1
1,2022,18,67,1
1,2022,97,35,1
1,2022,97,70,3
1,2022,97,63,3
1,2022,97,77,5
1,2022,97,73,1
1,2022,97,20,3
1,2022,97,36,3
1,2022,97,22,5
1,2022,97,54,5
1,2022,97,67,2
1,2022,99,35,2
1,2022,99,70,5
1,2022,99,63,5
1,2022,99,77,1
1,2022,99,73,4
1,2022,99,20,3
1,2022,99,36,2
1,2022,99,22,3
1,2022,99,54,3
1,2022,99,67,1
2,2022,20,69,1
2,2022,20,19,1
2,2022,20,55,1
2,2022,20,18,2
2,2022,20,17,2
2,2022,20,91,2
2,2022,20,63,3
2,2022,20,49,4
2,2022,20,85,4
2,2022,20,60,5
2,2022,41,69,1
2,2022,41,19,5
2,2022,41,55,3
2,2022,41,18,3
2,2022,41,17,3
2,2022,41,91,4
2,2022,41,63,5
2,2022,41,49,4
2,2022,41,85,3
2,2022,41,60,3
2,2022,38,69,3
2,2022,38,19,5
2,2022,38,55,4
2,2022,38,18,1
2,2022,38,17,3
2,2022,38,91,5
2,2022,38,63,4
2,2022,38,49,4
2,2022,38,85,3
2,2022,38,60,5
3,2022,57,14,5
3,2022,57,3,5
3,2022,57,67,1
3,2022,57,30,3
3,2022,57,25,2
3,2022,57,84,5
3,2022,57,76,4
3,2022,57,32,5
3,2022,57,69,2
3,2022,57,81,1
3,2022,21,14,4
3,2022,21,3,4
3,2022,21,67,3
3,2022,21,30,3
3,2022,21,25,5
3,2022,21,84,3
3,2022,21,76,2
3,2022,21,32,5
3,2022,21,69,1
3,2022,21,81,5
3,2022,9,14,3
3,2022,9,3,1
3,2022,9,67,4
3,2022,9,30,1
3,2022,9,25,4
3,2022,9,84,1
3,2022,9,76,3
3,2022,9,32,4
3,2022,9,69,3
3,2022,9,81,1
4,2022,84,43,3
4,2022,84,88,1
4,2022,84,55,2
4,2022,84,60,3
4,2022,84,53,4
4,2022,84,7,5
4,2022,84,17,1
4,2022,84,8,5
4,2022,84,67,5
4,2022,84,66,4
4,2022,33,43,4
4,2022,33,88,3
4,2022,33,55,3
4,2022,33,60,3
4,2022,33,53,4
4,2022,33,7,4
4,2022,33,17,1
4,2022,33,8,3
4,2022,33,67,4
4,2022,33,66,5
4,2022,9,43,1
4,2022,9,88,2
4,2022,9,55,5
4,2022,9,60,3
4,2022,9,53,4
4,2022,9,7,5
4,2022,9,17,3
4,2022,9,8,5
4,2022,9,67,2
4,2022,9,66,4
5,2022,73,93,3
5,2022,73,99,5
5,2022,73,10,3
5,2022,73,94,4
5,2022,73,25,5
5,2022,73,20,5
5,2022,73,81,3
5,2022,73,41,2
5,2022,73,16,2
5,2022,73,72,1
5,2022,36,93,2
5,2022,36,99,1
5,2022,36,10,3
5,2022,36,94,3
5,2022,36,25,4
5,2022,36,20,4
5,2022,36,81,5
5,2022,36,41,3
5,2022,36,16,4
5,2022,36,72,5
