"episode_id","episode_year","judge_chef_id","participant_chef_id","grade"
1,2022,25,57,2
1,2022,25,69,1
1,2022,25,19,3
1,2022,25,52,4
1,2022,25,93,1
1,2022,25,37,5
1,2022,25,10,4
1,2022,25,24,5
1,2022,25,30,4
1,2022,25,62,2
1,2022,36,57,5
1,2022,36,69,1
1,2022,36,19,3
1,2022,36,52,5
1,2022,36,93,4
1,2022,36,37,2
1,2022,36,10,3
1,2022,36,24,2
1,2022,36,30,1
1,2022,36,62,1
1,2022,77,57,3
1,2022,77,69,2
1,2022,77,19,4
1,2022,77,52,3
1,2022,77,93,5
1,2022,77,37,3
1,2022,77,10,2
1,2022,77,24,2
1,2022,77,30,3
1,2022,77,62,2
2,2022,28,90,1
2,2022,28,53,2
2,2022,28,21,5
2,2022,28,19,1
2,2022,28,9,3
2,2022,28,25,2
2,2022,28,86,5
2,2022,28,51,1
2,2022,28,30,1
2,2022,28,44,4
2,2022,16,90,4
2,2022,16,53,1
2,2022,16,21,2
2,2022,16,19,3
2,2022,16,9,2
2,2022,16,25,2
2,2022,16,86,2
2,2022,16,51,2
2,2022,16,30,2
2,2022,16,44,2
2,2022,65,90,2
2,2022,65,53,1
2,2022,65,21,3
2,2022,65,19,4
2,2022,65,9,5
2,2022,65,25,4
2,2022,65,86,5
2,2022,65,51,1
2,2022,65,30,5
2,2022,65,44,4
3,2022,17,45,3
3,2022,17,19,2
3,2022,17,87,4
3,2022,17,90,5
3,2022,17,53,5
3,2022,17,18,1
3,2022,17,60,4
3,2022,17,46,5
3,2022,17,30,4
3,2022,17,62,4
3,2022,6,45,3
3,2022,6,19,2
3,2022,6,87,5
3,2022,6,90,4
3,2022,6,53,4
3,2022,6,18,1
3,2022,6,60,4
3,2022,6,46,1
3,2022,6,30,1
3,2022,6,62,4
3,2022,72,45,2
3,2022,72,19,3
3,2022,72,87,1
3,2022,72,90,2
3,2022,72,53,3
3,2022,72,18,3
3,2022,72,60,3
3,2022,72,46,5
3,2022,72,30,5
3,2022,72,62,1
