"chef_id","cuisine_name"
1,"Turkish"
2,"Japanese"
2,"Italian"
3,"Italian"
3,"Japanese"
4,"Japanese"
4,"Russian"
5,"Korean"
5,"Indian"
6,"Greek"
6,"Indian"
6,"Albanian"
7,"Albanian"
8,"Italian"
8,"Korean"
8,"Greek"
9,"Italian"
10,"Indian"
10,"Russian"
10,"Greek"
11,"Russian"
11,"French"
12,"Japanese"
13,"Turkish"
14,"Italian"
14,"American"
15,"Korean"
16,"German"
16,"Chinese"
17,"American"
17,"Turkish"
17,"Chinese"
18,"American"
18,"Mexican"
18,"Russian"
19,"Chinese"
19,"Indian"
19,"Albanian"
20,"Albanian"
20,"Japanese"
20,"Mexican"
21,"Chinese"
22,"Korean"
22,"Italian"
22,"American"
23,"German"
24,"American"
24,"Greek"
24,"Japanese"
25,"Mexican"
25,"Albanian"
25,"Korean"
26,"Bulgarian"
27,"Korean"
28,"Greek"
29,"Korean"
30,"Japanese"
30,"Albanian"
31,"Chinese"
32,"Turkish"
33,"Japanese"
33,"Korean"
34,"Japanese"
34,"American"
34,"Mexican"
35,"Mexican"
36,"Japanese"
37,"Mexican"
37,"Greek"
38,"Albanian"
38,"Russian"
38,"French"
39,"American"
40,"French"
40,"Russian"
41,"Turkish"
41,"Mexican"
41,"Russian"
42,"Albanian"
42,"Indian"
42,"French"
43,"Russian"
44,"Korean"
44,"German"
45,"Albanian"
45,"Bulgarian"
45,"French"
46,"Turkish"
46,"American"
46,"Korean"
47,"French"
48,"German"
49,"Japanese"
49,"Korean"
49,"Italian"
50,"Indian"
50,"Chinese"
50,"Mexican"
51,"Bulgarian"
51,"American"
52,"Albanian"
53,"Indian"
53,"American"
53,"Italian"
54,"Italian"
54,"American"
55,"Indian"
55,"French"
55,"Korean"
56,"German"
56,"Korean"
57,"French"
57,"Russian"
58,"Greek"
58,"Chinese"
58,"Turkish"
59,"American"
59,"Korean"
59,"Turkish"
60,"Greek"
60,"Turkish"
60,"American"
61,"Japanese"
62,"German"
63,"Chinese"
63,"French"
64,"French"
65,"Bulgarian"
66,"Russian"
66,"Mexican"
66,"Korean"
67,"Russian"
67,"Indian"
67,"Bulgarian"
68,"Albanian"
68,"Korean"
69,"Indian"
69,"Mexican"
70,"Indian"
71,"French"
72,"Albanian"
72,"American"
73,"Russian"
73,"Albanian"
73,"German"
74,"Japanese"
74,"American"
74,"Turkish"
75,"Chinese"
76,"Greek"
76,"Turkish"
77,"Japanese"
77,"French"
78,"Turkish"
79,"Greek"
79,"Chinese"
80,"Russian"
80,"Italian"
81,"Korean"
81,"Indian"
81,"Chinese"
82,"French"
83,"Indian"
84,"Indian"
84,"German"
85,"Turkish"
86,"Russian"
86,"Greek"
87,"Chinese"
88,"Korean"
89,"Turkish"
89,"Korean"
90,"French"
90,"Chinese"
90,"Albanian"
91,"Greek"
92,"Greek"
93,"Italian"
93,"French"
94,"Bulgarian"
94,"Russian"
95,"American"
95,"Chinese"
95,"Russian"
96,"Bulgarian"
97,"German"
97,"Albanian"
98,"French"
98,"Russian"
99,"American"
99,"Greek"
100,"Mexican"
