"id","description","image_url"
2001,"Cabbage carrots etc","https://img.freepik.com/free-vector/vegetables-icons-set_1284-21276.jpg?size=338&ext=jpg&ga=GA1.1.2082370165.1715904000&semt=sph"
2002,"Apples bananas etc","https://img.freepik.com/free-photo/vibrant-collection-healthy-fruit-vegetables-generated-by-ai_24640-80425.jpg"
2003,"Potato cereal etc","https://media02.stockfood.com/largepreviews/Mzk5Mzg4NQ==/00128835-Cereals-bread-spaghetti-potatoes-and-rice.jpg"
2004,"Milk, cheese etc","https://img.freepik.com/free-photo/view-allergens-commonly-found-dairy_23-2150170319.jpg"
2005,"Peas beans etc","https://publish.purewow.net/wp-content/uploads/sites/2/2022/07/types-of-legumes-hero.jpg?resize=720%2C780"
2006,"Beef pork etc","https://www.shutterstock.com/image-photo/fresh-raw-beef-steaks-on-260nw-1457200706.jpg"
2007,"Chicken etc","https://media.istockphoto.com/id/93456512/photo/raw-chicken.jpg?s=612x612&w=0&k=20&c=UuvFL4g04JjBtrBdF9dAVReSUxELJey3CHEZv5z9OyE="
2008,"Eggs (come on)","https://cdn.britannica.com/94/151894-050-F72A5317/Brown-eggs.jpg"
2009,"fish shrimps etc","https://media.istockphoto.com/id/520490716/photo/seafood-on-ice.jpg?s=612x612&w=0&k=20&c=snyxGY26viNQ6BWqW-ez4U7tAO65Z_tmAFPMobiZ9Q4="
2010,"Olives Nuts etc","https://media.istockphoto.com/id/1332649193/photo/oil-hazelnut-in-sauceboat-on-board.jpg?s=612x612&w=0&k=20&c=jv7yA9YdXRHSBcJEqayZjQqRctZZGmD_WbX1jFMsHfE="
