"recipe_name","recipe_cuisine_name","chef_id"
"Mish me midhje","Turkish",1
"Mekitsa","Turkish",1
"Zefir","Turkish",1
"Mish me midhje","Turkish",13
"Mekitsa","Turkish",13
"Zefir","Turkish",13
"Mish me midhje","Turkish",17
"Mekitsa","Turkish",17
"Zefir","Turkish",17
"Mish me midhje","Turkish",32
"Mekitsa","Turkish",32
"Zefir","Turkish",32
"Mish me midhje","Turkish",41
"Mekitsa","Turkish",41
"Zefir","Turkish",41
"Mish me midhje","Turkish",46
"Mekitsa","Turkish",46
"Zefir","Turkish",46
"Mish me midhje","Turkish",58
"Mekitsa","Turkish",58
"Zefir","Turkish",58
"Mish me midhje","Turkish",59
"Mekitsa","Turkish",59
"Zefir","Turkish",59
"Mish me midhje","Turkish",60
"Mekitsa","Turkish",60
"Zefir","Turkish",60
"Mish me midhje","Turkish",74
"Mekitsa","Turkish",74
"Zefir","Turkish",74
"Mish me midhje","Turkish",76
"Mekitsa","Turkish",76
"Zefir","Turkish",76
"Mish me midhje","Turkish",78
"Mekitsa","Turkish",78
"Zefir","Turkish",78
"Mish me midhje","Turkish",85
"Mekitsa","Turkish",85
"Zefir","Turkish",85
"Mish me midhje","Turkish",89
"Mekitsa","Turkish",89
"Zefir","Turkish",89
"Byrek me Spinaq","Japanese",2
"Clam Chowder","Japanese",2
"Borscht","Japanese",2
"Byrek me Spinaq","Japanese",3
"Clam Chowder","Japanese",3
"Borscht","Japanese",3
"Byrek me Spinaq","Japanese",4
"Clam Chowder","Japanese",4
"Borscht","Japanese",4
"Byrek me Spinaq","Japanese",12
"Clam Chowder","Japanese",12
"Borscht","Japanese",12
"Byrek me Spinaq","Japanese",20
"Clam Chowder","Japanese",20
"Borscht","Japanese",20
"Byrek me Spinaq","Japanese",24
"Clam Chowder","Japanese",24
"Borscht","Japanese",24
"Byrek me Spinaq","Japanese",30
"Clam Chowder","Japanese",30
"Borscht","Japanese",30
"Byrek me Spinaq","Japanese",33
"Clam Chowder","Japanese",33
"Borscht","Japanese",33
"Byrek me Spinaq","Japanese",34
"Clam Chowder","Japanese",34
"Borscht","Japanese",34
"Byrek me Spinaq","Japanese",36
"Clam Chowder","Japanese",36
"Borscht","Japanese",36
"Byrek me Spinaq","Japanese",49
"Clam Chowder","Japanese",49
"Borscht","Japanese",49
"Byrek me Spinaq","Japanese",61
"Clam Chowder","Japanese",61
"Borscht","Japanese",61
"Byrek me Spinaq","Japanese",74
"Clam Chowder","Japanese",74
"Borscht","Japanese",74
"Byrek me Spinaq","Japanese",77
"Clam Chowder","Japanese",77
"Borscht","Japanese",77
"Speca të mbushur","Italian",2
"BLT Sandwich","Italian",2
"Medovik","Italian",2
"Speca të mbushur","Italian",3
"BLT Sandwich","Italian",3
"Medovik","Italian",3
"Speca të mbushur","Italian",8
"BLT Sandwich","Italian",8
"Medovik","Italian",8
"Speca të mbushur","Italian",9
"BLT Sandwich","Italian",9
"Medovik","Italian",9
"Speca të mbushur","Italian",14
"BLT Sandwich","Italian",14
"Medovik","Italian",14
"Speca të mbushur","Italian",22
"BLT Sandwich","Italian",22
"Medovik","Italian",22
"Speca të mbushur","Italian",49
"BLT Sandwich","Italian",49
"Medovik","Italian",49
"Speca të mbushur","Italian",53
"BLT Sandwich","Italian",53
"Medovik","Italian",53
"Speca të mbushur","Italian",54
"BLT Sandwich","Italian",54
"Medovik","Italian",54
"Speca të mbushur","Italian",80
"BLT Sandwich","Italian",80
"Medovik","Italian",80
"Speca të mbushur","Italian",93
"BLT Sandwich","Italian",93
"Medovik","Italian",93
"Macaroni and Cheese","Russian",4
"Bulgarian Cheese Toast","Russian",4
"Macaroni and Cheese","Russian",10
"Bulgarian Cheese Toast","Russian",10
"Macaroni and Cheese","Russian",11
"Bulgarian Cheese Toast","Russian",11
"Macaroni and Cheese","Russian",18
"Bulgarian Cheese Toast","Russian",18
"Macaroni and Cheese","Russian",38
"Bulgarian Cheese Toast","Russian",38
"Macaroni and Cheese","Russian",40
"Bulgarian Cheese Toast","Russian",40
"Macaroni and Cheese","Russian",41
"Bulgarian Cheese Toast","Russian",41
"Macaroni and Cheese","Russian",43
"Bulgarian Cheese Toast","Russian",43
"Macaroni and Cheese","Russian",57
"Bulgarian Cheese Toast","Russian",57
"Macaroni and Cheese","Russian",66
"Bulgarian Cheese Toast","Russian",66
"Macaroni and Cheese","Russian",67
"Bulgarian Cheese Toast","Russian",67
"Macaroni and Cheese","Russian",73
"Bulgarian Cheese Toast","Russian",73
"Macaroni and Cheese","Russian",80
"Bulgarian Cheese Toast","Russian",80
"Macaroni and Cheese","Russian",86
"Bulgarian Cheese Toast","Russian",86
"Macaroni and Cheese","Russian",94
"Bulgarian Cheese Toast","Russian",94
"Macaroni and Cheese","Russian",95
"Bulgarian Cheese Toast","Russian",95
"Macaroni and Cheese","Russian",98
"Bulgarian Cheese Toast","Russian",98
"Përime në zgare","Korean",5
"Banitsa","Korean",5
"Pryaniki","Korean",5
"Përime në zgare","Korean",8
"Banitsa","Korean",8
"Pryaniki","Korean",8
"Përime në zgare","Korean",15
"Banitsa","Korean",15
"Pryaniki","Korean",15
"Përime në zgare","Korean",22
"Banitsa","Korean",22
"Pryaniki","Korean",22
"Përime në zgare","Korean",25
"Banitsa","Korean",25
"Pryaniki","Korean",25
"Përime në zgare","Korean",27
"Banitsa","Korean",27
"Pryaniki","Korean",27
"Përime në zgare","Korean",29
"Banitsa","Korean",29
"Pryaniki","Korean",29
"Përime në zgare","Korean",33
"Banitsa","Korean",33
"Pryaniki","Korean",33
"Përime në zgare","Korean",44
"Banitsa","Korean",44
"Pryaniki","Korean",44
