recipe_name,recipe_cuisine_name,equipment
Tavë Kosi,Albanian,skillet
Tavë Kosi,Albanian,baking dish
Tavë Kosi,Albanian,whisk
Tavë Kosi,Albanian,oven
Bakllasarem,Albanian,baking dish
Bakllasarem,Albanian,oven
Bakllasarem,Albanian,saucepan
Fërgesë,Albanian,skillet
Fërgesë,Albanian,stove
Speca të mbushur,Albanian,oven
Speca të mbushur,Albanian,baking dish
Speca të mbushur,Albanian,pot
Byrek me Spinaq,Albanian,oven
Byrek me Spinaq,Albanian,baking pan
Byrek me Spinaq,Albanian,skillet
Jani me fasule,Albanian,pot
Jani me fasule,Albanian,stove
Shëndetli,Albanian,oven
Shëndetli,Albanian,cake pan
Shëndetli,Albanian,saucepan
Qifqi,Albanian,skillet
Qifqi,Albanian,pot
Qifqi,Albanian,bowl
Përime në zgare,Albanian,grill
Përime në zgare,Albanian,knife
Përime në zgare,Albanian,bowl
Mish me midhje,Albanian,skillet
Mish me midhje,Albanian,pot
Cheeseburger,American,grill
Cheeseburger,American,knife
Cheeseburger,American,cutting board
Apple Pie,American,oven
Apple Pie,American,mixing bowl
Apple Pie,American,pie dish
Apple Pie,American,rolling pin
Fried Chicken,American,deep fryer
Fried Chicken,American,bowl
Fried Chicken,American,tongs
Fried Chicken,American,paper towels
Macaroni and Cheese,American,pot
Macaroni and Cheese,American,oven
Macaroni and Cheese,American,saucepan
Macaroni and Cheese,American,baking dish
Barbecue Ribs,American,oven
Barbecue Ribs,American,grill
Barbecue Ribs,American,aluminum foil
Barbecue Ribs,American,basting brush
Pancakes,American,bowl
Pancakes,American,whisk
Pancakes,American,griddle or skillet
Pancakes,American,spatula
Chocolate Chip Cookies,American,mixing bowl
Chocolate Chip Cookies,American,baking sheet
Chocolate Chip Cookies,American,oven
Chocolate Chip Cookies,American,wire rack
BLT Sandwich,American,pan
BLT Sandwich,American,toaster
BLT Sandwich,American,knife
BLT Sandwich,American,cutting board
Clam Chowder,American,pot
Clam Chowder,American,knife
Clam Chowder,American,cutting board
Brownies,American,oven
Brownies,American,mixing bowl
Brownies,American,baking pan
Shopska Salata,Bulgarian,knife
Shopska Salata,Bulgarian,cutting board
Shopska Salata,Bulgarian,bowl
Kavarma,Bulgarian,pot
Kavarma,Bulgarian,knife
Kavarma,Bulgarian,cutting board
Banitsa,Bulgarian,oven
Banitsa,Bulgarian,baking dish
Banitsa,Bulgarian,brush
Mekitsa,Bulgarian,deep fryer
Mekitsa,Bulgarian,bowl
Mekitsa,Bulgarian,rolling pin
Musaka,Bulgarian,oven
Musaka,Bulgarian,baking dish
Tarator,Bulgarian,bowl
Tarator,Bulgarian,knife
Tarator,Bulgarian,garlic press
Kadaif,Bulgarian,oven
Kadaif,Bulgarian,tray
Kadaif,Bulgarian,saucepan
Bulgarian Cheese Toast,Bulgarian,oven
Bulgarian Cheese Toast,Bulgarian,toaster
Bulgarian Cheese Toast,Bulgarian,frying pan
Garash Cake,Bulgarian,oven
Garash Cake,Bulgarian,mixing bowls
Garash Cake,Bulgarian,whisk
Garash Cake,Bulgarian,cake pan
Sarmi,Bulgarian,pot
Sarmi,Bulgarian,knife
Sarmi,Bulgarian,cutting board
Beef Stroganoff,Russian,pan
Beef Stroganoff,Russian,knife
Beef Stroganoff,Russian,cutting board
Medovik,Russian,oven
Medovik,Russian,mixing bowl
Medovik,Russian,baking sheet
Medovik,Russian,whisk
Medovik,Russian,rolling pin
Borscht,Russian,pot
Borscht,Russian,knife
Borscht,Russian,cutting board
Pelmeni,Russian,pot
Pelmeni,Russian,rolling pin
Pelmeni,Russian,bowl
Pelmeni,Russian,knife
Syrniki,Russian,pan
Syrniki,Russian,mixing bowl
Syrniki,Russian,spatula
Kasha,Russian,pot
Kasha,Russian,strainer
Pryaniki,Russian,oven
Pryaniki,Russian,mixing bowl
Pryaniki,Russian,rolling pin
Pryaniki,Russian,cookie cutter
Zefir,Russian,blender
Zefir,Russian,mixing bowl
Zefir,Russian,piping bag
Olivier Salad,Russian,pot
Olivier Salad,Russian,knife
Olivier Salad,Russian,bowl
Shchi,Russian,pot
Shchi,Russian,knife
Shchi,Russian,cutting board
