recipe_name,recipe_cuisine_name,ingredient_name,ingredient_full_name,ingredient_weight,ingredient_kcal,ingredient_carbs
Tavë Kosi,Albanian,lamb,"500g lamb, cut into pieces",500.0,3240.0,0.0
Tavë Kosi,Albanian,rice,1 cup rice,195.0,702.0,154.635
Tavë Kosi,Albanian,water,2 cups water,473.176473,0.0,0.0
Tavë Kosi,Albanian,yogurt,2 cups yogurt,490.0,298.9,22.834
Tavë Kosi,Albanian,egg,3 eggs,129.0,184.47,0.9288
Tavë Kosi,Albanian,flour,2 tbsp flour,15.624999999735829,56.874999999038415,11.921874999798439
Tavë Kosi,Albanian,salt,Salt and pepper,10.816808837998416,0.0,0.0
Tavë Kosi,Albanian,olive oil,Olive oil,24.518100032796404,216.74000428992022,0.0
Bakllasarem,Albanian,phyllo dough,1 package phyllo dough,400.0,1196.0,210.4
Bakllasarem,Albanian,walnuts,2 cups chopped walnuts,234.0,1530.36,32.058
Bakllasarem,Albanian,sugar,1 cup sugar,200.0,774.0,200.0
Bakllasarem,Albanian,cinnamon,1 tsp cinnamon,2.6,6.422000000000001,2.0956
Bakllasarem,Albanian,butter,1 cup melted butter,227.0,1627.59,0.1362
Bakllasarem,Albanian,sugar,1 cup sugar,200.0,774.0,200.0
Bakllasarem,Albanian,water,1 cup water,236.5882365,0.0,0.0
Bakllasarem,Albanian,lemon juice,1 tbsp lemon juice,15.2499999997422,3.354999999943284,1.052249999982212
Fërgesë,Albanian,red bell pepper,"2 bell peppers, chopped",238.0,61.88,14.351400000000002
Fërgesë,Albanian,onions,"1 onion, chopped",125.0,50.0,11.675
Fërgesë,Albanian,tomato,"2 tomatoes, chopped",246.0,44.28,9.5694
Fërgesë,Albanian,cottage cheese,200g cottage cheese,200.0,196.0,6.76
Fërgesë,Albanian,salt,Salt and pepper,4.854,0.0,0.0
Fërgesë,Albanian,olive oil,Olive oil,11.0024,97.261216,0.0
Speca të mbushur,Albanian,red bell pepper,4 bell peppers,476.0,123.76,28.702800000000003
Speca të mbushur,Albanian,rice,1 cup rice,195.0,702.0,154.635
Speca të mbushur,Albanian,canned shrimp,"1 cup precooked shrimp, chopped",128.0,128.0,0.0
Speca të mbushur,Albanian,garlic,"2 cloves garlic, minced",6.0,8.94,1.9860000000000002
Speca të mbushur,Albanian,dried thyme,"Herbs (parsley, dill)",8.120000000000001,22.411200000000004,5.188680000000001
Speca të mbushur,Albanian,salt,Salt and pepper,4.872,0.0,0.0
Speca të mbushur,Albanian,lemon,Lemon wedges for serving,7.0,2.03,0.6524000000000001
Byrek me Spinaq,Albanian,phyllo dough,1 package phyllo dough,400.0,1196.0,210.4
Byrek me Spinaq,Albanian,spinach,"500g spinach, washed and chopped",500.0,115.0,18.15
Byrek me Spinaq,Albanian,feta cheese,200g feta cheese,200.0,530.0,7.76
Byrek me Spinaq,Albanian,egg,3 eggs,129.0,184.47,0.9288
Byrek me Spinaq,Albanian,olive oil,Olive oil,16.714399999999998,147.755296,0.0
Jani me fasule,Albanian,white bean,1 lb dried white beans,453.59237,1510.4625921000002,273.51619911
Jani me fasule,Albanian,onions,"1 large onion, chopped",150.0,60.0,14.01
Jani me fasule,Albanian,garlic,"2 cloves garlic, minced",6.0,8.94,1.9860000000000002
Jani me fasule,Albanian,tomato,"2 tomatoes, chopped",246.0,44.28,9.5694
Jani me fasule,Albanian,salt,Salt and pepper,5.133554220000001,0.0,0.0
Jani me fasule,Albanian,chili powder,Chili powder,0.0,0.0,0.0
Jani me fasule,Albanian,olive oil,Olive oil,11.636056232,102.86273709088,0.0
Shëndetli,Albanian,walnuts,1 cup ground walnuts,80.0,523.2,10.96
Shëndetli,Albanian,sugar,1 cup sugar,200.0,774.0,200.0
Shëndetli,Albanian,egg,4 eggs,172.0,245.96,1.2384
Shëndetli,Albanian,sugar,1 cup sugar,200.0,774.0,200.0
Shëndetli,Albanian,water,1 cup water,236.5882365,0.0,0.0
Shëndetli,Albanian,lemon juice,1 tbsp lemon juice,15.2499999997422,3.354999999943284,1.052249999982212
Qifqi,Albanian,rice,1 cup rice,195.0,702.0,154.635
Qifqi,Albanian,egg,2 eggs,86.0,122.98,0.6192
Qifqi,Albanian,mint,"Fresh mint, chopped",0.0,0.0,0.0
Qifqi,Albanian,salt,Salt,1.686,0.0,0.0
