recipe_name,recipe_cuisine_name,meal_type
Tavë Kosi,Albanian,dinner
Bakllasarem,Albanian,dessert
Fërgesë,Albanian,lunch
Speca të mbushur,Albanian,dinner
Byrek me Spinaq,Albanian,breakfast
Jani me fasule,Albanian,dinner
Shëndetli,Albanian,dessert
Qifqi,Albanian,lunch
Përime në zgare,Albanian,dinner
Mish me midhje,Albanian,brunch
Cheeseburger,American,dinner
Apple Pie,American,dessert
Fried Chicken,American,lunch
Macaroni and Cheese,American,dinner
Barbecue Ribs,American,dinner
Pancakes,American,breakfast
Chocolate Chip Cookies,American,dessert
BLT Sandwich,American,lunch
Clam Chowder,American,dinner
Brownies,American,dessert
Shopska Salata,Bulgarian,dinner
Kavarma,Bulgarian,dinner
Banitsa,Bulgarian,lunch
Mekitsa,Bulgarian,breakfast
Musaka,Bulgarian,dinner
Tarator,Bulgarian,lunch
Kadaif,Bulgarian,dessert
Bulgarian Cheese Toast,Bulgarian,breakfast
Garash Cake,Bulgarian,dessert
Sarmi,Bulgarian,dinner
Beef Stroganoff,Russian,dinner
Medovik,Russian,dessert
Borscht,Russian,lunch
Pelmeni,Russian,dinner
Syrniki,Russian,breakfast
Kasha,Russian,dinner
Pryaniki,Russian,dessert
Zefir,Russian,dessert
Olivier Salad,Russian,brunch
Shchi,Russian,lunch
