number,description,recipe_name,recipe_cuisine_name
1,Brown lamb pieces in a skillet with a little oil.,Tavë Kosi,Albanian
2,Place lamb in a baking dish and cover with rice and water.,Tavë Kosi,Albanian
3,Bake in the oven at 375°F for 30 minutes.,Tavë Kosi,Albanian
4,"Whisk together yogurt, eggs, and flour; pour over the lamb and rice.",Tavë Kosi,Albanian
5,Return to oven and bake until the topping is golden and set.,Tavë Kosi,Albanian
6,Serve hot.,Tavë Kosi,Albanian
1,Prepare phyllo dough and layer half in a greased baking dish.,Bakllasarem,Albanian
2,"Mix chopped walnuts, sugar, and cinnamon; spread over the phyllo.",Bakllasarem,Albanian
3,"Top with the remaining phyllo, brushing each layer with melted butter.",Bakllasarem,Albanian
4,Cut into diamonds and bake at 350°F until golden and crisp.,Bakllasarem,Albanian
5,"Pour syrup made from sugar, water, and lemon juice over the hot pastry.",Bakllasarem,Albanian
6,Allow to cool before serving.,Bakllasarem,Albanian
1,Sauté chopped onions and bell peppers in olive oil until soft.,Fërgesë,Albanian
2,Add chopped tomatoes and simmer until the mixture thickens.,Fërgesë,Albanian
3,Stir in crumbled cottage cheese and season with salt and pepper.,Fërgesë,Albanian
4,Cook until everything is heated through.,Fërgesë,Albanian
5,Serve warm with crusty bread.,Fërgesë,Albanian
1,Prepare rice according to package instructions.,Speca të mbushur,Albanian
2,"Mix cooked rice with chopped herbs, garlic, and precooked shrimp.",Speca të mbushur,Albanian
3,Cut tops off bell peppers and remove seeds.,Speca të mbushur,Albanian
4,"Stuff peppers with rice mixture, place in a baking dish.",Speca të mbushur,Albanian
5,Bake at 375°F until peppers are soft and filling is hot.,Speca të mbushur,Albanian
6,Serve with lemon wedges.,Speca të mbushur,Albanian
1,Preheat oven to 350°F.,Byrek me Spinaq,Albanian
2,"Sauté spinach until wilted, then mix with crumbled feta cheese and eggs.",Byrek me Spinaq,Albanian
3,"Layer phyllo sheets in a greased baking pan, brushing each with oil.",Byrek me Spinaq,Albanian
4,"Spread spinach mixture over phyllo, then cover with more phyllo sheets.",Byrek me Spinaq,Albanian
5,Bake until golden brown.,Byrek me Spinaq,Albanian
6,Cut into squares and serve.,Byrek me Spinaq,Albanian
1,"Soak beans overnight, then drain and rinse.",Jani me fasule,Albanian
2,Sauté onions and garlic in a pot until translucent.,Jani me fasule,Albanian
3,"Add beans, water, and chopped tomatoes. Bring to a boil, then reduce to a simmer.",Jani me fasule,Albanian
4,Cook covered on low heat for 2 hours until beans are tender.,Jani me fasule,Albanian
5,"Season with salt, pepper, and a pinch of chili powder.",Jani me fasule,Albanian
6,Serve hot with bread.,Jani me fasule,Albanian
1,Preheat oven to 350°F.,Shëndetli,Albanian
2,"Prepare cake batter with eggs, sugar, and ground walnuts.",Shëndetli,Albanian
3,Pour into a greased pan and bake until a toothpick comes out clean.,Shëndetli,Albanian
4,"Simultaneously, prepare syrup with sugar, water, and lemon juice.",Shëndetli,Albanian
5,Pour hot syrup over the hot cake after removing from oven.,Shëndetli,Albanian
6,Let absorb and cool before serving.,Shëndetli,Albanian
1,"Cook rice until tender, then mix with beaten eggs, chopped mint, and salt.",Qifqi,Albanian
2,Heat oil in a deep skillet.,Qifqi,Albanian
3,Form rice mixture into small balls and fry until golden and crispy.,Qifqi,Albanian
4,Drain on paper towels and serve hot.,Qifqi,Albanian
1,"Slice zucchini, bell peppers, eggplants, and tomatoes into even pieces.",Përime në zgare,Albanian
2,"Marinate with olive oil, garlic, and herbs.",Përime në zgare,Albanian
3,Grill on high heat until vegetables are tender and have grill marks.,Përime në zgare,Albanian
4,"Serve hot or at room temperature, garnished with fresh basil.",Përime në zgare,Albanian
1,Clean mussels and discard any that are open and do not close when tapped.,Mish me midhje,Albanian
2,"Heat olive oil in a large skillet, add minced garlic, and sauté until fragrant.",Mish me midhje,Albanian
3,"Add mussels and cover with white wine, simmer until mussels open.",Mish me midhje,Albanian
4,Sprinkle with chopped parsley and serve hot.,Mish me midhje,Albanian
5,Serve with pasta or fresh bread.,Mish me midhje,Albanian
1,Form ground beef into patties and season with salt and pepper.,Cheeseburger,American
2,Grill patties on medium-high heat until desired doneness.,Cheeseburger,American
3,Place a slice of cheese on each patty in the last minute of cooking to melt.,Cheeseburger,American
4,Toast hamburger buns on the grill.,Cheeseburger,American
5,"Assemble the burgers by placing lettuce, tomato, patty with cheese, onions, and pickles on the bun.",Cheeseburger,American
6,"Serve with ketchup, mustard, or mayonnaise.",Cheeseburger,American
1,Prepare the pie crust and line a pie dish with one layer of crust.,Apple Pie,American
2,"Mix sliced apples with sugar, cinnamon, and flour.",Apple Pie,American
3,Fill the pie crust with the apple mixture.,Apple Pie,American
4,"Cover with the second layer of crust, seal edges, and cut small slits in the top.",Apple Pie,American
5,Bake at 375°F until the crust is golden and the filling is bubbly.,Apple Pie,American
6,Serve warm with vanilla ice cream.,Apple Pie,American
1,"Combine flour, salt, pepper, paprika, and garlic powder in a bowl.",Fried Chicken,American
2,"Dip chicken pieces in beaten eggs, then dredge in flour mixture.",Fried Chicken,American
3,Heat oil in a deep fryer or large skillet to 350°F.,Fried Chicken,American
4,"Fry chicken until crispy and cooked through, about 10 minutes per side.",Fried Chicken,American
5,Drain on paper towels and serve.,Fried Chicken,American
1,Cook macaroni according to package instructions; drain.,Macaroni and Cheese,American
2,"In a saucepan, melt butter and stir in flour to make a roux.",Macaroni and Cheese,American
3,"Gradually add milk to the roux, stirring constantly until thickened.",Macaroni and Cheese,American
4,Remove from heat and mix in grated cheese until melted.,Macaroni and Cheese,American
5,"Combine cheese sauce with macaroni, transfer to a baking dish, and bake at 375°F for 20 minutes.",Macaroni and Cheese,American
6,"Optionally, top with breadcrumbs and bake until golden.",Macaroni and Cheese,American
1,"Rub ribs with a mixture of paprika, garlic powder, salt, and sugar.",Barbecue Ribs,American
2,Wrap ribs in foil and bake at 275°F for 3 hours until tender.,Barbecue Ribs,American
3,"Remove ribs from foil, brush with barbecue sauce, and grill for 10 minutes on each side.",Barbecue Ribs,American
4,Serve with extra barbecue sauce.,Barbecue Ribs,American
1,"Mix flour, sugar, baking powder, and salt in a bowl.",Pancakes,American
2,"In another bowl, whisk together milk, egg, and melted butter.",Pancakes,American
3,Combine the wet and dry ingredients until just mixed; some lumps are okay.,Pancakes,American
4,Heat a griddle or skillet over medium heat and pour batter to form pancakes.,Pancakes,American
5,"Cook until bubbles form on the surface, then flip and cook until golden.",Pancakes,American
6,Serve with butter and maple syrup.,Pancakes,American
1,Cream together butter and sugars until fluffy.,Chocolate Chip Cookies,American
2,Beat in eggs and vanilla extract.,Chocolate Chip Cookies,American
3,"Mix in flour, baking soda, and salt.",Chocolate Chip Cookies,American
4,Stir in chocolate chips.,Chocolate Chip Cookies,American
5,Drop spoonfuls of dough onto a baking sheet and bake at 350°F for 10 minutes or until golden.,Chocolate Chip Cookies,American
6,Cool on a wire rack before serving.,Chocolate Chip Cookies,American
1,Cook bacon until crispy.,BLT Sandwich,American
2,Toast slices of bread.,BLT Sandwich,American
3,Spread mayonnaise on one side of each slice of bread.,BLT Sandwich,American
4,"Layer crispy bacon, sliced tomatoes, and lettuce leaves on one slice, then top with another slice of bread.",BLT Sandwich,American
5,Cut in half and serve.,BLT Sandwich,American
1,Cook chopped bacon until crisp; set aside.,Clam Chowder,American
2,"In the same pot, sauté onions and celery until soft.",Clam Chowder,American
3,"Add potatoes, clams with juice, water, and seasonings; simmer until potatoes are tender.",Clam Chowder,American
4,Stir in cream and heat through without boiling.,Clam Chowder,American
5,Serve garnished with crispy bacon and oyster crackers.,Clam Chowder,American
1,Melt butter and chocolate together.,Brownies,American
2,"Stir in sugar, eggs, and vanilla extract.",Brownies,American
3,"Mix in flour, cocoa powder, and salt.",Brownies,American
4,Fold in additional chocolate chunks.,Brownies,American
5,Pour batter into a greased baking pan and bake at 350°F for 25 minutes.,Brownies,American
6,Cool in pan before cutting into squares and serving.,Brownies,American
1,"Chop tomatoes, cucumbers, and onions into bite-sized pieces.",Shopska Salata,Bulgarian
2,Combine in a bowl and season with salt and olive oil.,Shopska Salata,Bulgarian
3,Top with grated sirene cheese and a sprinkle of parsley before serving.,Shopska Salata,Bulgarian
1,Brown the meat in a pot with some oil.,Kavarma,Bulgarian
2,"Add chopped onions, peppers, and mushrooms to the pot and sauté until soft.",Kavarma,Bulgarian
3,"Stir in paprika, a splash of white wine, and tomato paste. Cover and simmer for an hour.",Kavarma,Bulgarian
4,"Season with salt, pepper, and fresh herbs before serving.",Kavarma,Bulgarian
1,Mix beaten eggs with crumbled sirene cheese and yogurt.,Banitsa,Bulgarian
2,"Layer sheets of phyllo dough in a greased baking dish, brushing each with melted butter.",Banitsa,Bulgarian
3,Spread the egg and cheese mixture between layers of phyllo.,Banitsa,Bulgarian
4,Bake at 375°F until golden brown and puffed.,Banitsa,Bulgarian
5,Cut into squares and serve hot.,Banitsa,Bulgarian
1,"Mix flour, yeast, and yogurt to form a soft dough. Let it rise until doubled.",Mekitsa,Bulgarian
2,Heat oil in a deep fryer.,Mekitsa,Bulgarian
3,Roll out small pieces of dough and fry until golden brown on both sides.,Mekitsa,Bulgarian
4,"Drain on paper towels and sprinkle with powdered sugar, or serve with honey or jam.",Mekitsa,Bulgarian
1,Layer thinly sliced potatoes and seasoned minced meat in a baking dish.,Musaka,Bulgarian
2,Mix eggs with yogurt and pour over the layers.,Musaka,Bulgarian
3,Bake at 350°F until the top is golden and the potatoes are tender.,Musaka,Bulgarian
4,Allow to set before serving.,Musaka,Bulgarian
1,Combine yogurt with water to a soup-like consistency.,Tarator,Bulgarian
2,"Add finely chopped cucumbers, crushed garlic, chopped dill, and crushed walnuts.",Tarator,Bulgarian
3,Season with salt and olive oil.,Tarator,Bulgarian
4,Chill in the fridge for at least an hour before serving.,Tarator,Bulgarian
1,"Layer kadaif dough in a tray, interspersing with mixed nuts.",Kadaif,Bulgarian
2,Bake until golden brown.,Kadaif,Bulgarian
