"episode_id","episode_year","recipe_name","recipe_cuisine_name","chef_id"
1,2020,"Ramen","Japanese",49
1,2020,"Baklava","Turkish",77
1,2020,"Tiramisu","Italian",11
1,2020,"Palaw","Turkmen",85
1,2020,"Flan","Mexican",89
1,2020,"Kurt","Kazakh",12
1,2020,"Coq au Vin","French",22
1,2020,"Medovik","Russian",87
1,2020,"Pretzels","German",100
1,2020,"Fërgesë","Albanian",84
2,2020,"Hoddeok","Korean",74
2,2020,"Greek Salad (Horiatiki)","Greek",26
2,2020,"Palak Paneer","Indian",62
2,2020,"Ugali","Kenyan",90
2,2020,"Doro Wat","Ethiopian",22
2,2020,"Jani me fasule","Albanian",12
2,2020,"Gutap","Turkmen",85
2,2020,"Cawl","Welsh",33
2,2020,"Ghapama","Armenian",89
2,2020,"Crème Brûlée","French",91
3,2020,"Welsh Rarebit","Welsh",19
3,2020,"Beshbarmak","Kazakh",1
3,2020,"Bibimbap","Korean",22
3,2020,"Cheeseburger","American",60
3,2020,"Nyama Choma","Kenyan",5
3,2020,"Gutap","Turkmen",57
3,2020,"Osso Buco","Italian",61
3,2020,"Palak Paneer","Indian",16
3,2020,"Qifqi","Albanian",23
3,2020,"Kasha","Russian",87
4,2020,"Injera","Ethiopian",22
4,2020,"Fried Chicken","American",54
4,2020,"Sauerbraten","German",96
4,2020,"Tarator","Bulgarian",16
4,2020,"Sushi Rolls (Maki Sushi)","Japanese",58
4,2020,"Bara Brith","Welsh",84
4,2020,"Ugali","Kenyan",77
4,2020,"French Onion Soup","French",20
4,2020,"Spaghetti Carbonara","Italian",17
4,2020,"Bibimbap","Korean",25
5,2020,"Medovik","Russian",6
5,2020,"Black Forest Cake","German",24
5,2020,"Cawl","Welsh",27
5,2020,"Kitfo","Ethiopian",17
5,2020,"Bibimbap","Korean",66
5,2020,"Chicken Biryani","Indian",16
5,2020,"Egg Drop Soup","Chinese",95
5,2020,"Ramen","Japanese",49
5,2020,"Nyama Choma","Kenyan",90
5,2020,"Moussaka","Greek",65
6,2020,"Baklava","Greek",96
6,2020,"Kazy","Kazakh",57
6,2020,"Matcha Ice Cream","Japanese",46
6,2020,"Black Forest Cake","German",15
6,2020,"Lahmajoun","Armenian",30
6,2020,"Cawl","Welsh",13
6,2020,"Ugali","Kenyan",24
6,2020,"Medovik","Russian",6
6,2020,"İskender Kebab","Turkish",42
6,2020,"Mish me midhje","Albanian",76
7,2020,"Palak Paneer","Indian",18
7,2020,"Tiramisu","Italian",49
7,2020,"Beef Stroganoff","Russian",97
7,2020,"Garash Cake","Bulgarian",26
7,2020,"Hoddeok","Korean",83
7,2020,"Fried Chicken","American",99
7,2020,"Cawl","Welsh",27
7,2020,"Tavë Kosi","Albanian",39
7,2020,"Nyama Choma","Kenyan",90
7,2020,"Chiles en Nogada","Mexican",94
8,2020,"Ramen","Japanese",92
8,2020,"Moussaka","Greek",39
8,2020,"Macaroni and Cheese","American",28
8,2020,"Bibimbap","Korean",66
8,2020,"Garash Cake","Bulgarian",45
8,2020,"Qifqi","Albanian",85
8,2020,"Spaghetti Carbonara","Italian",49
8,2020,"Bara Brith","Welsh",84
8,2020,"Palaw","Turkmen",10
8,2020,"Ugali","Kenyan",81
9,2020,"Macaroni and Cheese","American",56
9,2020,"İskender Kebab","Turkish",28
9,2020,"Borscht","Russian",31
9,2020,"Chicken Biryani","Indian",61
9,2020,"Nyama Choma","Kenyan",81
9,2020,"Chiles en Nogada","Mexican",98
9,2020,"Tavë Kosi","Albanian",23
9,2020,"Ramen","Japanese",3
9,2020,"Sauerbraten","German",88
9,2020,"Ghapama","Armenian",39
10,2020,"Sushi Rolls (Maki Sushi)","Japanese",49
10,2020,"Doro Wat","Ethiopian",87
10,2020,"Mango Lassi","Indian",27
10,2020,"Brownies","American",17
10,2020,"Bibimbap","Korean",22
10,2020,"Beshbarmak","Kazakh",1
10,2020,"Shurpa","Turkmen",57
10,2020,"Coq au Vin","French",91
10,2020,"İskender Kebab","Turkish",42
10,2020,"Syrniki","Russian",67
1,2021,"Ramen","Japanese",58
1,2021,"Pancakes","American",56
1,2021,"Kung Pao Chicken","Chinese",53
1,2021,"Chiles en Nogada","Mexican",79
1,2021,"Fërgesë","Albanian",31
1,2021,"Tarator","Bulgarian",16
1,2021,"Pelmeni","Russian",6
1,2021,"Mango Lassi","Indian",18
1,2021,"Greek Salad (Horiatiki)","Greek",1
1,2021,"Ghapama","Armenian",87
2,2021,"Gutap","Turkmen",59
2,2021,"İskender Kebab","Turkish",61
2,2021,"Mish me midhje","Albanian",35
2,2021,"Cawl","Welsh",19
2,2021,"Black Forest Cake","German",100
2,2021,"Kung Pao Chicken","Chinese",95
2,2021,"Doro Wat","Ethiopian",78
2,2021,"Greek Salad (Horiatiki)","Greek",97
