"id","description","image_url"
202001,"episode 1.2020 image","app/generated/episode_1_2020.png"
202002,"episode 2.2020 image","app/generated/episode_2_2020.png"
202003,"episode 3.2020 image","app/generated/episode_3_2020.png"
202004,"episode 4.2020 image","app/generated/episode_4_2020.png"
202005,"episode 5.2020 image","app/generated/episode_5_2020.png"
202006,"episode 6.2020 image","app/generated/episode_6_2020.png"
202007,"episode 7.2020 image","app/generated/episode_7_2020.png"
202008,"episode 8.2020 image","app/generated/episode_8_2020.png"
202009,"episode 9.2020 image","app/generated/episode_9_2020.png"
202010,"episode 10.2020 image","app/generated/episode_10_2020.png"
202101,"episode 1.2021 image","app/generated/episode_1_2021.png"
202102,"episode 2.2021 image","app/generated/episode_2_2021.png"
202103,"episode 3.2021 image","app/generated/episode_3_2021.png"
202104,"episode 4.2021 image","app/generated/episode_4_2021.png"
202105,"episode 5.2021 image","app/generated/episode_5_2021.png"
202106,"episode 6.2021 image","app/generated/episode_6_2021.png"
202107,"episode 7.2021 image","app/generated/episode_7_2021.png"
202108,"episode 8.2021 image","app/generated/episode_8_2021.png"
202109,"episode 9.2021 image","app/generated/episode_9_2021.png"
202110,"episode 10.2021 image","app/generated/episode_10_2021.png"
202201,"episode 1.2022 image","app/generated/episode_1_2022.png"
202202,"episode 2.2022 image","app/generated/episode_2_2022.png"
202203,"episode 3.2022 image","app/generated/episode_3_2022.png"
202204,"episode 4.2022 image","app/generated/episode_4_2022.png"
202205,"episode 5.2022 image","app/generated/episode_5_2022.png"
202206,"episode 6.2022 image","app/generated/episode_6_2022.png"
202207,"episode 7.2022 image","app/generated/episode_7_2022.png"
202208,"episode 8.2022 image","app/generated/episode_8_2022.png"
202209,"episode 9.2022 image","app/generated/episode_9_2022.png"
202210,"episode 10.2022 image","app/generated/episode_10_2022.png"
202301,"episode 1.2023 image","app/generated/episode_1_2023.png"
202302,"episode 2.2023 image","app/generated/episode_2_2023.png"
202303,"episode 3.2023 image","app/generated/episode_3_2023.png"
202304,"episode 4.2023 image","app/generated/episode_4_2023.png"
202305,"episode 5.2023 image","app/generated/episode_5_2023.png"
202306,"episode 6.2023 image","app/generated/episode_6_2023.png"
202307,"episode 7.2023 image","app/generated/episode_7_2023.png"
202308,"episode 8.2023 image","app/generated/episode_8_2023.png"
202309,"episode 9.2023 image","app/generated/episode_9_2023.png"
202310,"episode 10.2023 image","app/generated/episode_10_2023.png"
202401,"episode 1.2024 image","app/generated/episode_1_2024.png"
202402,"episode 2.2024 image","app/generated/episode_2_2024.png"
202403,"episode 3.2024 image","app/generated/episode_3_2024.png"
202404,"episode 4.2024 image","app/generated/episode_4_2024.png"
202405,"episode 5.2024 image","app/generated/episode_5_2024.png"
202406,"episode 6.2024 image","app/generated/episode_6_2024.png"
202407,"episode 7.2024 image","app/generated/episode_7_2024.png"
202408,"episode 8.2024 image","app/generated/episode_8_2024.png"
202409,"episode 9.2024 image","app/generated/episode_9_2024.png"
202410,"episode 10.2024 image","app/generated/episode_10_2024.png"
