"episode_id","episode_year","chef_id"
1,2020,17
1,2020,66
1,2020,44
2,2020,24
2,2020,57
2,2020,16
3,2020,49
3,2020,74
3,2020,53
4,2020,97
4,2020,29
4,2020,57
5,2020,80
5,2020,45
5,2020,39
6,2020,10
6,2020,18
6,2020,92
7,2020,45
7,2020,87
7,2020,5
8,2020,26
8,2020,76
8,2020,42
9,2020,92
9,2020,63
9,2020,86
10,2020,64
10,2020,60
10,2020,12
1,2021,23
1,2021,50
1,2021,19
2,2021,67
2,2021,26
2,2021,48
3,2021,87
3,2021,43
3,2021,67
4,2021,3
4,2021,78
4,2021,73
5,2021,98
5,2021,44
5,2021,68
6,2021,67
6,2021,93
6,2021,89
7,2021,48
7,2021,2
7,2021,28
8,2021,64
8,2021,46
8,2021,37
9,2021,63
9,2021,11
9,2021,97
10,2021,55
10,2021,74
10,2021,65
1,2022,96
1,2022,81
1,2022,58
2,2022,35
2,2022,51
2,2022,95
3,2022,43
3,2022,9
3,2022,41
4,2022,86
4,2022,6
4,2022,56
5,2022,7
5,2022,54
5,2022,41
6,2022,45
6,2022,65
6,2022,35
7,2022,12
7,2022,47
7,2022,79
8,2022,86
8,2022,45
8,2022,15
9,2022,24
9,2022,68
9,2022,80
10,2022,90
10,2022,79
10,2022,54
1,2023,44
1,2023,31
1,2023,81
2,2023,19
2,2023,66
2,2023,79
3,2023,11
3,2023,52
3,2023,28
4,2023,23
4,2023,92
4,2023,44
5,2023,94
5,2023,89
5,2023,29
6,2023,9
6,2023,40
6,2023,3
7,2023,85
7,2023,94
7,2023,60
8,2023,33
8,2023,40
8,2023,56
9,2023,57
9,2023,80
9,2023,28
10,2023,96
10,2023,9
10,2023,75
1,2024,75
1,2024,23
1,2024,72
2,2024,52
2,2024,82
2,2024,99
3,2024,11
3,2024,88
3,2024,25
4,2024,29
4,2024,22
4,2024,54
5,2024,96
5,2024,77
5,2024,62
6,2024,1
6,2024,78
6,2024,44
7,2024,39
7,2024,83
7,2024,88
8,2024,77
8,2024,29
8,2024,96
9,2024,69
9,2024,16
9,2024,27
10,2024,53
10,2024,77
10,2024,93
