"episode_id","episode_year","judge_chef_id","participant_chef_id","grade"
1,2020,17,49,5
1,2020,17,77,3
1,2020,17,11,5
1,2020,17,85,1
1,2020,17,89,2
1,2020,17,12,3
1,2020,17,22,5
1,2020,17,87,3
1,2020,17,100,5
1,2020,17,84,3
1,2020,66,49,3
1,2020,66,77,4
1,2020,66,11,5
1,2020,66,85,5
1,2020,66,89,4
1,2020,66,12,3
1,2020,66,22,2
1,2020,66,87,5
1,2020,66,100,3
1,2020,66,84,3
1,2020,44,49,1
1,2020,44,77,5
1,2020,44,11,4
1,2020,44,85,4
1,2020,44,89,5
1,2020,44,12,4
1,2020,44,22,2
1,2020,44,87,3
1,2020,44,100,3
1,2020,44,84,5
2,2020,24,74,3
2,2020,24,26,1
2,2020,24,62,5
2,2020,24,90,3
2,2020,24,22,1
2,2020,24,12,5
2,2020,24,85,2
2,2020,24,33,4
2,2020,24,89,1
2,2020,24,91,4
2,2020,57,74,1
2,2020,57,26,2
2,2020,57,62,4
2,2020,57,90,3
2,2020,57,22,2
2,2020,57,12,4
2,2020,57,85,5
2,2020,57,33,5
2,2020,57,89,2
2,2020,57,91,5
2,2020,16,74,1
2,2020,16,26,1
2,2020,16,62,3
2,2020,16,90,4
2,2020,16,22,1
2,2020,16,12,1
2,2020,16,85,2
2,2020,16,33,1
2,2020,16,89,3
2,2020,16,91,4
3,2020,49,19,3
3,2020,49,1,4
3,2020,49,22,2
3,2020,49,60,4
3,2020,49,5,5
3,2020,49,57,3
3,2020,49,61,2
3,2020,49,16,1
3,2020,49,23,1
3,2020,49,87,2
3,2020,74,19,1
3,2020,74,1,1
3,2020,74,22,4
3,2020,74,60,5
3,2020,74,5,1
3,2020,74,57,1
3,2020,74,61,2
3,2020,74,16,4
3,2020,74,23,4
3,2020,74,87,2
3,2020,53,19,5
3,2020,53,1,2
3,2020,53,22,1
3,2020,53,60,5
3,2020,53,5,3
3,2020,53,57,3
3,2020,53,61,4
3,2020,53,16,2
3,2020,53,23,4
3,2020,53,87,4
4,2020,97,22,1
4,2020,97,54,1
4,2020,97,96,3
4,2020,97,16,2
4,2020,97,58,3
4,2020,97,84,4
4,2020,97,77,3
4,2020,97,20,1
4,2020,97,17,2
4,2020,97,25,1
4,2020,29,22,5
4,2020,29,54,4
4,2020,29,96,3
4,2020,29,16,3
4,2020,29,58,3
4,2020,29,84,1
4,2020,29,77,2
4,2020,29,20,3
4,2020,29,17,2
4,2020,29,25,4
4,2020,57,22,4
4,2020,57,54,3
4,2020,57,96,3
4,2020,57,16,4
4,2020,57,58,5
4,2020,57,84,1
4,2020,57,77,4
4,2020,57,20,1
4,2020,57,17,4
