"recipe_name","recipe_cuisine_name","label_name"
"Tavë Kosi","Greek","dinner"
"Tavë Kosi","Greek","traditional"
"Bakllasarem","French","dessert"
"Bakllasarem","French","traditional"
"Fërgesë","Indian","lunch"
"Fërgesë","Indian","traditional"
"Speca të mbushur","Italian","dinner"
"Speca të mbushur","Italian","seafood"
"Byrek me Spinaq","Japanese","breakfast"
"Byrek me Spinaq","Japanese","quick"
"Jani me fasule","Chinese","dinner"
"Jani me fasule","Chinese","hearty"
"Shëndetli","Mexican","dessert"
"Shëndetli","Mexican","traditional"
"Qifqi","German","lunch"
"Qifqi","German","light"
"Përime në zgare","Korean","dinner"
"Përime në zgare","Korean","traditional"
"Mish me midhje","Turkish","brunch"
"Mish me midhje","Turkish","seafood"
"Cheeseburger","Albanian","dinner"
"Cheeseburger","Albanian","classic"
"Apple Pie","American","dessert"
"Apple Pie","American","traditional"
"Fried Chicken","Bulgarian","lunch"
"Fried Chicken","Bulgarian","fast food"
"Macaroni and Cheese","Russian","dinner"
"Macaroni and Cheese","Russian","comfort food"
"Barbecue Ribs","Greek","dinner"
"Barbecue Ribs","Greek","BBQ"
"Pancakes","French","breakfast"
"Pancakes","French","quick"
"Chocolate Chip Cookies","Indian","dessert"
"Chocolate Chip Cookies","Indian","chocolate"
"BLT Sandwich","Italian","lunch"
"BLT Sandwich","Italian","sandwich"
"Clam Chowder","Japanese","dinner"
"Clam Chowder","Japanese","seafood"
"Brownies","Chinese","dessert"
"Brownies","Chinese","classic"
"Shopska Salata","Mexican","dinner"
"Shopska Salata","Mexican","traditional"
"Kavarma","German","dinner"
"Kavarma","German","hearty"
"Banitsa","Korean","lunch"
"Banitsa","Korean","traditional"
"Mekitsa","Turkish","breakfast"
"Mekitsa","Turkish","quick"
"Musaka","Albanian","dinner"
"Musaka","Albanian","comfort"
"Tarator","American","lunch"
"Tarator","American","soup"
"Kadaif","Bulgarian","dessert"
"Kadaif","Bulgarian","traditional"
"Bulgarian Cheese Toast","Russian","breakfast"
"Bulgarian Cheese Toast","Russian","hearty"
"Garash Cake","Greek","dessert"
"Garash Cake","Greek","festive"
"Sarmi","French","dinner"
"Sarmi","French","traditional"
"Beef Stroganoff","Indian","dinner"
"Beef Stroganoff","Indian","traditional"
"Medovik","Italian","dessert"
"Medovik","Italian","holiday"
"Borscht","Japanese","lunch"
"Borscht","Japanese","hearty"
"Pelmeni","Chinese","dinner"
"Pelmeni","Chinese","winter"
"Syrniki","Mexican","breakfast"
"Syrniki","Mexican","quick"
"Kasha","German","dinner"
"Kasha","German","filling"
"Pryaniki","Korean","dessert"
"Pryaniki","Korean","festive"
"Zefir","Turkish","dessert"
"Zefir","Turkish","simple"
"Olivier Salad","Albanian","brunch"
"Olivier Salad","Albanian","hearty"
"Shchi","American","lunch"
"Shchi","American","traditional"
