"recipe_name","recipe_cuisine_name","tip_id"
"Ghapama","Armenian",1
"Ghapama","Armenian",2
"Ghapama","Armenian",3
"Harissa","Armenian",4
"Harissa","Armenian",5
"Harissa","Armenian",6
"Lahmajoun","Armenian",7
"Lahmajoun","Armenian",8
"Lahmajoun","Armenian",9
"Beef and Broccoli","Chinese",10
"Beef and Broccoli","Chinese",11
"Beef and Broccoli","Chinese",12
"Egg Drop Soup","Chinese",13
"Egg Drop Soup","Chinese",14
"Egg Drop Soup","Chinese",15
"Kung Pao Chicken","Chinese",16
"Kung Pao Chicken","Chinese",17
"Kung Pao Chicken","Chinese",18
"Doro Wat","Ethiopian",19
"Doro Wat","Ethiopian",20
"Doro Wat","Ethiopian",21
"Injera","Ethiopian",22
"Injera","Ethiopian",23
"Injera","Ethiopian",24
"Kitfo","Ethiopian",25
"Kitfo","Ethiopian",26
"Kitfo","Ethiopian",27
"Coq au Vin","French",28
"Coq au Vin","French",29
"Coq au Vin","French",30
"Crème Brûlée","French",31
"Crème Brûlée","French",32
"Crème Brûlée","French",33
"French Onion Soup","French",34
"French Onion Soup","French",35
"French Onion Soup","French",36
"Black Forest Cake","German",37
"Black Forest Cake","German",38
"Black Forest Cake","German",39
"Pretzels","German",40
"Pretzels","German",41
"Pretzels","German",42
"Sauerbraten","German",43
"Sauerbraten","German",44
"Sauerbraten","German",45
"Baklava","Greek",46
"Baklava","Greek",47
"Baklava","Greek",48
"Greek Salad (Horiatiki)","Greek",49
"Greek Salad (Horiatiki)","Greek",50
"Greek Salad (Horiatiki)","Greek",51
"Moussaka","Greek",52
"Moussaka","Greek",53
"Moussaka","Greek",54
"Chicken Biryani","Indian",55
"Chicken Biryani","Indian",56
"Chicken Biryani","Indian",57
"Mango Lassi","Indian",58
"Mango Lassi","Indian",59
"Mango Lassi","Indian",60
"Palak Paneer","Indian",61
"Palak Paneer","Indian",62
"Palak Paneer","Indian",63
"Osso Buco","Italian",64
"Osso Buco","Italian",65
"Osso Buco","Italian",66
"Spaghetti Carbonara","Italian",67
"Spaghetti Carbonara","Italian",68
"Spaghetti Carbonara","Italian",69
"Tiramisu","Italian",70
"Tiramisu","Italian",71
"Tiramisu","Italian",72
"Matcha Ice Cream","Japanese",73
"Matcha Ice Cream","Japanese",74
"Matcha Ice Cream","Japanese",75
"Ramen","Japanese",76
"Ramen","Japanese",77
"Ramen","Japanese",78
"Sushi Rolls (Maki Sushi)","Japanese",79
"Sushi Rolls (Maki Sushi)","Japanese",80
"Sushi Rolls (Maki Sushi)","Japanese",81
"Beshbarmak","Kazakh",82
"Beshbarmak","Kazakh",83
"Beshbarmak","Kazakh",84
"Kazy","Kazakh",85
"Kazy","Kazakh",86
"Kazy","Kazakh",87
"Kurt","Kazakh",88
"Kurt","Kazakh",89
"Kurt","Kazakh",90
"Nyama Choma","Kenyan",91
"Nyama Choma","Kenyan",92
"Nyama Choma","Kenyan",93
"Sukuma Wiki","Kenyan",94
"Sukuma Wiki","Kenyan",95
"Sukuma Wiki","Kenyan",96
"Ugali","Kenyan",97
"Ugali","Kenyan",98
"Ugali","Kenyan",99
"Bibimbap","Korean",100
"Bibimbap","Korean",101
"Bibimbap","Korean",102
"Hoddeok","Korean",103
"Hoddeok","Korean",104
"Hoddeok","Korean",105
"Kimchi Jjigae","Korean",106
"Kimchi Jjigae","Korean",107
"Kimchi Jjigae","Korean",108
"Chiles en Nogada","Mexican",109
"Chiles en Nogada","Mexican",110
"Chiles en Nogada","Mexican",111
"Flan","Mexican",112
"Flan","Mexican",113
"Flan","Mexican",114
"Tacos al Pastor","Mexican",115
"Tacos al Pastor","Mexican",116
"Tacos al Pastor","Mexican",117
"Baklava","Turkish",118
"Baklava","Turkish",119
"Baklava","Turkish",120
"İskender Kebab","Turkish",121
"İskender Kebab","Turkish",122
"İskender Kebab","Turkish",123
"Lahmacun","Turkish",124
"Lahmacun","Turkish",125
"Lahmacun","Turkish",126
"Gutap","Turkmen",127
"Gutap","Turkmen",128
"Gutap","Turkmen",129
"Palaw","Turkmen",130
"Palaw","Turkmen",131
"Palaw","Turkmen",132
"Shurpa","Turkmen",133
"Shurpa","Turkmen",134
"Shurpa","Turkmen",135
"Bara Brith","Welsh",136
"Bara Brith","Welsh",137
"Bara Brith","Welsh",138
"Cawl","Welsh",139
"Cawl","Welsh",140
"Cawl","Welsh",141
"Welsh Rarebit","Welsh",142
"Welsh Rarebit","Welsh",143
"Welsh Rarebit","Welsh",144
"Tavë Kosi","Albanian",145
"Tavë Kosi","Albanian",146
"Tavë Kosi","Albanian",147
"Bakllasarem","Albanian",148
"Bakllasarem","Albanian",149
"Bakllasarem","Albanian",150
"Fërgesë","Albanian",151
"Fërgesë","Albanian",152
"Fërgesë","Albanian",153
"Speca të mbushur","Albanian",154
"Speca të mbushur","Albanian",155
"Speca të mbushur","Albanian",156
"Byrek me Spinaq","Albanian",157
"Byrek me Spinaq","Albanian",158
"Byrek me Spinaq","Albanian",159
"Jani me fasule","Albanian",160
"Jani me fasule","Albanian",161
"Jani me fasule","Albanian",162
"Shëndetli","Albanian",163
"Shëndetli","Albanian",164
"Shëndetli","Albanian",165
"Qifqi","Albanian",166
"Qifqi","Albanian",167
"Qifqi","Albanian",168
"Përime në zgare","Albanian",169
"Përime në zgare","Albanian",170
"Përime në zgare","Albanian",171
"Mish me midhje","Albanian",172
"Mish me midhje","Albanian",173
"Mish me midhje","Albanian",174
"Cheeseburger","American",175
"Cheeseburger","American",176
"Cheeseburger","American",177
"Apple Pie","American",178
"Apple Pie","American",179
"Apple Pie","American",180
"Fried Chicken","American",181
"Fried Chicken","American",182
"Fried Chicken","American",183
"Macaroni and Cheese","American",184
"Macaroni and Cheese","American",185
"Macaroni and Cheese","American",186
"Barbecue Ribs","American",187
"Barbecue Ribs","American",188
"Barbecue Ribs","American",189
"Pancakes","American",190
"Pancakes","American",191
"Pancakes","American",192
"Chocolate Chip Cookies","American",193
"Chocolate Chip Cookies","American",194
"Chocolate Chip Cookies","American",195
"BLT Sandwich","American",196
"BLT Sandwich","American",197
"BLT Sandwich","American",198
"Clam Chowder","American",199
"Clam Chowder","American",200
"Clam Chowder","American",201
"Brownies","American",202
"Brownies","American",203
"Brownies","American",204
"Shopska Salata","Bulgarian",205
"Shopska Salata","Bulgarian",206
"Shopska Salata","Bulgarian",207
"Kavarma","Bulgarian",208
"Kavarma","Bulgarian",209
"Kavarma","Bulgarian",210
"Banitsa","Bulgarian",211
"Banitsa","Bulgarian",212
"Banitsa","Bulgarian",213
"Mekitsa","Bulgarian",214
"Mekitsa","Bulgarian",215
"Mekitsa","Bulgarian",216
"Musaka","Bulgarian",217
"Musaka","Bulgarian",218
"Musaka","Bulgarian",219
"Tarator","Bulgarian",220
"Tarator","Bulgarian",221
"Tarator","Bulgarian",222
"Kadaif","Bulgarian",223
"Kadaif","Bulgarian",224
"Kadaif","Bulgarian",225
"Bulgarian Cheese Toast","Bulgarian",226
"Bulgarian Cheese Toast","Bulgarian",227
"Bulgarian Cheese Toast","Bulgarian",228
"Garash Cake","Bulgarian",229
"Garash Cake","Bulgarian",230
"Garash Cake","Bulgarian",231
"Sarmi","Bulgarian",232
"Sarmi","Bulgarian",233
"Sarmi","Bulgarian",234
"Beef Stroganoff","Russian",235
"Beef Stroganoff","Russian",236
"Beef Stroganoff","Russian",237
"Medovik","Russian",238
"Medovik","Russian",239
"Medovik","Russian",240
"Borscht","Russian",241
"Borscht","Russian",242
"Borscht","Russian",243
"Pelmeni","Russian",244
"Pelmeni","Russian",245
"Pelmeni","Russian",246
"Syrniki","Russian",247
"Syrniki","Russian",248
"Syrniki","Russian",249
"Kasha","Russian",250
"Kasha","Russian",251
"Kasha","Russian",252
"Pryaniki","Russian",253
"Pryaniki","Russian",254
"Pryaniki","Russian",255
"Zefir","Russian",256
"Zefir","Russian",257
"Zefir","Russian",258
"Olivier Salad","Russian",259
"Olivier Salad","Russian",260
"Olivier Salad","Russian",261
"Shchi","Russian",262
"Shchi","Russian",263
"Shchi","Russian",264
