fat,protein,carbohydrate,total_calories,recipe_name,recipe_cuisine_name
18,4,60,0,Apple-Cranberry Crostada,Greek
19,2,52,0,Apple Pie by Grandma Ople,Greek
0,0,32,0,Sarahs Homemade Applesauce,French
8,2,61,0,Apple Crisp,French
0,0,33,0,Apple Pie Filling,Indian
25,5,99,0,Easy Apple Crisp with Oat Topping,Indian
0,0,43,0,Easy Apple Cider,Italian
12,2,43,0,Apple-Cranberry Crisp,Italian
35,5,148,0,Old-Fashioned Apple Dumplings,Japanese
23,1,45,0,Southern Fried Apples,Japanese
26,5,80,0,Apple Turnovers,Chinese
16,2,56,0,Apple Crisp - Perfect and Easy,Chinese
28,5,142,0,The Best Caramel Apples,Mexican
16,7,14,0,Mulligatawny Soup,Mexican
6,0,24,0,Sauteed Apples,German
0,0,22,0,Homemade Apple Cider,German
0,0,25,0,Canned Apple Pie Filling,Korean
9,2,42,0,Easy Apple Pie,Korean
15,4,70,0,Apple Crumb Pie,Turkish
6,4,70,0,Caramel Apples,Turkish
