name,cal_per_100,food_team_short_name,image_id
butter,20,Apple Dessert Recipes,1
Granny Smith apples,20,Apple Dessert Recipes,1
sliced 1/4-inch thick,20,Apple Dessert Recipes,1
Macintosh apples,20,Apple Dessert Recipes,1
1/4-inch thick,20,Apple Dessert Recipes,1
sugar,20,Apple Dessert Recipes,1
dried cranberries,20,Apple Dessert Recipes,1
frozen puff pastry,20,Apple Dessert Recipes,1
still cold,20,Apple Dessert Recipes,1
white,20,Apple Dessert Recipes,1
Optional: Ice cream or lightly sweetened whipped cream,20,Apple Dessert Recipes,1
needed,20,Apple Pie Recipes,1
unsalted butter,20,Apple Pie Recipes,1
all-purpose flour,20,Apple Pie Recipes,1
white sugar,20,Apple Pie Recipes,1
packed brown sugar,20,Apple Pie Recipes,1
water,20,Apple Pie Recipes,1
pie pastry,20,Apple Pie Recipes,1
- peeled,20,Applesauce Recipes,1
chopped,20,Applesauce Recipes,1
ground cinnamon,20,Applesauce Recipes,1
all-purpose apples,20,Apple Crisps and Crumbles Recipes,1
sliced,20,Apple Crisps and Crumbles Recipes,1
quick-cooking oats,20,Apple Crisps and Crumbles Recipes,1
baking powder,20,Apple Crisps and Crumbles Recipes,1
baking soda,20,Apple Crisps and Crumbles Recipes,1
thinly sliced apples,20,Apple Pie Recipes,1
lemon juice,20,Apple Pie Recipes,1
cups white sugar,20,Apple Pie Recipes,1
cornstarch,20,Apple Pie Recipes,1
salt,20,Apple Pie Recipes,1
ground nutmeg,20,Apple Pie Recipes,1
teaspoons ground cinnamon,20,Apple Crisps and Crumbles Recipes,1
brown sugar,20,Apple Crisps and Crumbles Recipes,1
old-fashioned oats,20,Apple Crisps and Crumbles Recipes,1
cold butter,20,Apple Crisps and Crumbles Recipes,1
apple cider,20,Cider Recipes,1
sticks,20,Cider Recipes,1
whole allspice,20,Cider Recipes,1
whole cloves,20,Cider Recipes,1
Granny Smith apples - peeled,20,Crisps and Crumbles Recipes,1
thinly sliced,20,Crisps and Crumbles Recipes,1
cranberries,20,Crisps and Crumbles Recipes,1
pastry for double-crust pie,20,Apple Dessert Recipes,1
cored,20,Apple Dessert Recipes,1
vanilla extract,20,Apple Dessert Recipes,1
Smith apples - peeled,20,Side Dish,1
frozen puff pastry sheets,20,Apple Dessert Recipes,1
confectioners sugar,20,Apple Dessert Recipes,1
milk,20,Apple Dessert Recipes,1
cups apples - peeled,20,Apple Crisps and Crumbles Recipes,1
sifted all-purpose flour,20,Apple Crisps and Crumbles Recipes,1
tart apples,20,Caramel Apple Recipes,1
chopsticks for handles,20,Caramel Apple Recipes,1
sweetened condensed milk,20,Caramel Apple Recipes,1
light corn syrup,20,Caramel Apple Recipes,1
chopped onion,20,Chicken Soup Recipes,1
celery,20,Chicken Soup Recipes,1
tablespoons all-purpose flour,20,Chicken Soup Recipes,1
teaspoons curry powder,20,Chicken Soup Recipes,1
chicken broth,20,Chicken Soup Recipes,1
white rice,20,Chicken Soup Recipes,1
breast half - cut into cubes,20,Chicken Soup Recipes,1
dried thyme,20,Chicken Soup Recipes,1
ground black pepper to taste,20,Chicken Soup Recipes,1
heavy cream,20,Chicken Soup Recipes,1
tart apples - peeled,20,Side Dish,1
sliced 1/4 inch thick,20,Side Dish,1
cold water,20,Side Dish,1
apples,20,Juice Recipes,1
ground allspice,20,Juice Recipes,1
yellow food coloring,20,Apple Pie Recipes,1
pastry for a 9-inch double-crust pie,20,Apple Pie Recipes,1
to taste,20,Apple Pie Recipes,1
raisins,20,Apple Pie Recipes,1
chopped walnuts,20,Apple Pie Recipes,1
shell,20,Apple Pie Recipes,1
craft sticks,20,Caramel Apple Recipes,1
individually wrapped caramels,20,Caramel Apple Recipes,1
