recipe_name,recipe_cuisine_name,ingredient_name,ingredient_full_name,ingredient_weight,ingredient_kcal,ingredient_carbs
Ghapama,Armenian,pumpkin,1 medium pumpkin,62.0,16.12,4.03
Ghapama,Armenian,cooked rice,1 cup cooked rice,158.0,205.4,44.556
Ghapama,Armenian,dried apricots,"1/2 cup dried apricots, chopped",65.0,156.65,40.69
Ghapama,Armenian,prune,"1/2 cup prunes, chopped",87.0,208.8,55.593
Ghapama,Armenian,raisin,1/2 cup raisins,72.5,216.775,57.4925
Ghapama,Armenian,almond nut,"1/2 cup almonds, chopped",71.5,413.985,15.444
Ghapama,Armenian,walnuts,"1/2 cup walnuts, chopped",58.5,382.59,8.0145
Ghapama,Armenian,honey,1/4 cup honey,84.75,257.64,69.834
Harissa,Armenian,chicken,1 whole chicken,1200.0,2580.0,0.0
Harissa,Armenian,wheat,2 cups khorasan wheat,336.0,1112.16,249.312
Harissa,Armenian,water,Water as needed,0.0,0.0,0.0
Harissa,Armenian,salt,Salt to taste,9.312,0.0,0.0
Harissa,Armenian,butter,Butter for serving,10.0,71.7,0.006
Harissa,Armenian,cinnamon,Cinnamon for serving,6.0,14.82,4.835999999999999
Lahmajoun,Armenian,ground lamb,500 grams ground lamb or beef,500.0,1410.0,0.0
Lahmajoun,Armenian,unbleached flour,3 cups all-purpose flour,375.0,1365.0,286.125
Lahmajoun,Armenian,water,1 cup warm water,236.5882365,0.0,0.0
Lahmajoun,Armenian,yeast,1 tsp active dry yeast,4.0,13.0,1.6480000000000001
Lahmajoun,Armenian,tomato,"2 tomatoes, finely diced",246.0,44.28,9.5694
Lahmajoun,Armenian,red bell pepper,"1 bell pepper, finely diced",119.0,30.94,7.175700000000001
Lahmajoun,Armenian,onions,"1 onion, finely diced",125.0,50.0,11.675
Lahmajoun,Armenian,parsley,1/2 cup chopped parsley,30.0,10.8,1.899
Lahmajoun,Armenian,paprika,1 tsp paprika,2.3,6.485999999999999,1.242
Lahmajoun,Armenian,cumin,1 tsp cumin,2.1,7.875,0.9282
Lahmajoun,Armenian,salt,Salt and pepper to taste,9.881929418999999,0.0,0.0
Lahmajoun,Armenian,lemon,Lemon wedges for serving,7.0,2.03,0.6524000000000001
Beef and Broccoli,Chinese,beef,"300 grams beef, thinly sliced",300.0,390.0,0.36
Beef and Broccoli,Chinese,broccoli florets,400 grams broccoli florets,400.0,112.0,20.24
Beef and Broccoli,Chinese,garlic,"2 cloves garlic, minced",6.0,8.94,1.9860000000000002
Beef and Broccoli,Chinese,soy sauce,3 tbsp soy sauce (for marinade),48.0,25.44,2.3664
Beef and Broccoli,Chinese,cornstarch,1 tbsp cornstarch (for marinade),7.999999999864745,30.479999999484676,7.303999999876512
Beef and Broccoli,Chinese,beef broth,1/2 cup beef stock,120.0,15.6,1.44
Beef and Broccoli,Chinese,oyster sauce,2 tbsp oyster sauce,36.0,18.36,3.9240000000000004
Beef and Broccoli,Chinese,soy sauce,Soy sauce to taste,0.0,0.0,0.0
Beef and Broccoli,Chinese,oil,Cooking oil,12.48479999999816,110.36563199998372,0.0
Egg Drop Soup,Chinese,chicken or vegetable stock,4 cups chicken broth,960.0,345.6,33.888
Egg Drop Soup,Chinese,egg,"2 eggs, beaten",86.0,122.98,0.6192
Egg Drop Soup,Chinese,green onions,"2 green onions, chopped",27.777777777777782,8.888888888888891,2.038888888888889
Egg Drop Soup,Chinese,soy sauce,1 tsp soy sauce,5.3,2.8089999999999997,0.26128999999999997
Egg Drop Soup,Chinese,salt,Salt to taste,6.474466666666667,0.0,0.0
Egg Drop Soup,Chinese,black pepper,White pepper to taste,3.2372333333333336,8.125455666666667,2.0718293333333335
Egg Drop Soup,Chinese,sesame oil,Sesame oil,14.675457777777776,129.73104675555555,0.0
Kung Pao Chicken,Chinese,chicken breast,"500 grams chicken breast, cubed",500.0,600.0,0.0
Kung Pao Chicken,Chinese,peanut,"1 cup peanuts, roasted",146.0,827.82,23.506000000000004
Kung Pao Chicken,Chinese,red bell pepper,"2 bell peppers, diced",238.0,61.88,14.351400000000002
Kung Pao Chicken,Chinese,green onions,"6 scallions, chopped",83.33333333333334,26.66666666666667,6.116666666666667
Kung Pao Chicken,Chinese,dried red chilies,8 dried chilies,4.0,12.96,2.7960000000000003
Kung Pao Chicken,Chinese,soy sauce,2 tbsp soy sauce (for marinade),32.0,16.96,1.5776
Kung Pao Chicken,Chinese,cornstarch,1 tbsp cornstarch (for marinade),7.999999999864745,30.479999999484676,7.303999999876512
Kung Pao Chicken,Chinese,soy sauce,3 tbsp soy sauce (for sauce),48.0,25.44,2.3664
Kung Pao Chicken,Chinese,white vinegar,2 tbsp vinegar,29.8,5.364,0.01192
Kung Pao Chicken,Chinese,sugar,1 tbsp sugar,12.4999999997887,48.37499999918227,12.499999999788702
Kung Pao Chicken,Chinese,water,1/2 cup water,118.29411825,0.0,0.0
Kung Pao Chicken,Chinese,oil,Cooking oil,16.591013341528615,146.66455793911297,0.0
Doro Wat,Ethiopian,chicken,"1 kg chicken, cut into pieces",1000.0,2150.0,0.0
Doro Wat,Ethiopian,lemon,Juice of 1 lemon,84.0,24.36,7.8288
Doro Wat,Ethiopian,salt,Salt,10.25760000000568,0.0,0.0
Doro Wat,Ethiopian,onions,"2 cups red onions, finely chopped",320.0,128.0,29.888
Doro Wat,Ethiopian,vegetable oil,1/4 cup vegetable oil,56.00000000094679,495.0400000083696,0.0
Doro Wat,Ethiopian,garlic,"2 teaspoons garlic, minced",5.6,8.344,1.8536
Doro Wat,Ethiopian,ginger,"2 teaspoons ginger, minced",4.0,3.2,0.7120000000000001
Doro Wat,Ethiopian,hard-boiled eggs,6 hard-boiled eggs,240.0,372.0,2.688
Doro Wat,Ethiopian,water,Water as needed,0.0,0.0,0.0
Injera,Ethiopian,teff,2 cups teff flour,386.0,1416.62,282.166
Injera,Ethiopian,water,Water as needed,0.0,0.0,0.0
Injera,Ethiopian,salt,1/2 teaspoon salt,3.0,0.0,0.0
Kitfo,Ethiopian,beef tenderloin,"500 grams lean beef, preferably tenderloin, finely chopped or ground",500.0,1230.0,0.0
Coq au Vin,French,chicken,"1 whole chicken, cut into pieces",1200.0,2580.0,0.0
Coq au Vin,French,red wine,500 ml red wine,497.0661337170921,422.50621365952827,12.973426090016103
Coq au Vin,French,bacon,"200 grams bacon, chopped",200.0,786.0,0.0
Coq au Vin,French,white mushroom,"250 grams mushrooms, quartered",250.0,55.0,8.15
Coq au Vin,French,onions,"2 onions, chopped",250.0,100.0,23.35
